
Logging initialized using configuration in file:/etc/hive-1.2.0/hive-log4j.properties
Hive history file=/home/hive/log/tnystrand/hive_job_log_b4df1efb-5ccc-44ca-b938-56a935e3b677_1248489398.txt
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-07-20	} stats: [numFiles=1, numRows=60359, totalSize=286350, rawDataSize=60385827]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2015-11-12} stats: [numFiles=3, numRows=137673, totalSize=967112, rawDataSize=138726716]
Partition cluster_metrics_prod_2.container_time_series{system=marketshare, date=2015-10-12} stats: [numFiles=1, numRows=698083, totalSize=3264077, rawDataSize=709740677]
Partition cluster_metrics_prod_2.container_time_series{system=sonobi, date=2016-03-23} stats: [numFiles=2, numRows=78, totalSize=6179, rawDataSize=78958]
Partition cluster_metrics_prod_2.container_time_series{system=motleyfool, date=2015-10-30} stats: [numFiles=1, numRows=971, totalSize=12523, rawDataSize=976826]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2015-12-31} stats: [numFiles=1, numRows=135982, totalSize=909274, rawDataSize=136806008]
Partition cluster_metrics_prod_2.container_time_series{system=airpush, date=2015-07-02	} stats: [numFiles=1, numRows=270618, totalSize=1797991, rawDataSize=271111160]
Partition cluster_metrics_prod_2.container_time_series{system=marketshare, date=2016-03-30} stats: [numFiles=5, numRows=5150413, totalSize=17183749, rawDataSize=5259840506]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-12-09} stats: [numFiles=1, numRows=802235, totalSize=4470733, rawDataSize=805917775]
Partition cluster_metrics_prod_2.container_time_series{system=tlg, date=2015-11-11} stats: [numFiles=3, numRows=21050, totalSize=126537, rawDataSize=19206258]
Partition cluster_metrics_prod_2.container_time_series{system=tlg, date=2016-02-15} stats: [numFiles=3, numRows=27853, totalSize=240275, rawDataSize=28068128]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2015-06-14	} stats: [numFiles=1, numRows=138564, totalSize=919536, rawDataSize=139549500]
Partition cluster_metrics_prod_2.container_time_series{system=firstdata, date=2015-10-03} stats: [numFiles=1, numRows=84, totalSize=3203, rawDataSize=84000]
Partition cluster_metrics_prod_2.container_time_series{system=pxcel, date=2015-11-30} stats: [numFiles=1, numRows=1489, totalSize=11668, rawDataSize=1490489]
Partition cluster_metrics_prod_2.container_time_series{system=ia, date=2016-02-06} stats: [numFiles=3, numRows=83342, totalSize=446287, rawDataSize=83431464]
Partition cluster_metrics_prod_2.container_time_series{system=airpush, date=2015-11-27} stats: [numFiles=1, numRows=36733, totalSize=300842, rawDataSize=36842593]
Partition cluster_metrics_prod_2.container_time_series{system=devicescape2, date=2015-08-04	} stats: [numFiles=1, numRows=971430, totalSize=6611384, rawDataSize=973801984]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2015-08-10	} stats: [numFiles=1, numRows=7898, totalSize=54868, rawDataSize=7929651]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2015-08-03	} stats: [numFiles=1, numRows=81673, totalSize=606007, rawDataSize=82193134]
Partition cluster_metrics_prod_2.container_time_series{system=motleyfool, date=2015-08-31	} stats: [numFiles=1, numRows=642, totalSize=9419, rawDataSize=645852]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-12-30} stats: [numFiles=1, numRows=253420, totalSize=1446713, rawDataSize=257173600]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2016-01-26} stats: [numFiles=2, numRows=3972697, totalSize=15468648, rawDataSize=3984151987]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-09-04	} stats: [numFiles=1, numRows=784948, totalSize=4403668, rawDataSize=789339488]
Partition cluster_metrics_prod_2.container_time_series{system=thasos, date=2015-06-27	} stats: [numFiles=1, numRows=232737, totalSize=210519, rawDataSize=233899455]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-12-27} stats: [numFiles=1, numRows=782432, totalSize=4464304, rawDataSize=785970560]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-06-21	} stats: [numFiles=1, numRows=838287, totalSize=4962634, rawDataSize=842227835]
Partition cluster_metrics_prod_2.container_time_series{system=galepartners, date=2016-03-11} stats: [numFiles=4, numRows=22914, totalSize=102441, rawDataSize=23100518]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-12-21} stats: [numFiles=1, numRows=356902, totalSize=1619989, rawDataSize=360800391]
Partition cluster_metrics_prod_2.container_time_series{system=pxcel, date=2016-01-29} stats: [numFiles=3, numRows=7867, totalSize=46549, rawDataSize=7874463]
Partition cluster_metrics_prod_2.container_time_series{system=iheartradio, date=2016-04-25} stats: [numFiles=3, numRows=306248, totalSize=2496246, rawDataSize=311295442]
Partition cluster_metrics_prod_2.container_time_series{system=owneriq, date=2015-10-14} stats: [numFiles=1, numRows=4494288, totalSize=13439390, rawDataSize=4520990640]
Partition cluster_metrics_prod_2.container_time_series{system=pxcel, date=2016-03-12} stats: [numFiles=4, numRows=9593, totalSize=64705, rawDataSize=9679445]
Partition cluster_metrics_prod_2.container_time_series{system=playfirst, date=2016-04-16} stats: [numFiles=4, numRows=61078, totalSize=336484, rawDataSize=61753174]
Partition cluster_metrics_prod_2.container_time_series{system=tlg, date=2015-07-30	} stats: [numFiles=1, numRows=158, totalSize=4436, rawDataSize=158000]
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-09-24	} stats: [numFiles=1, numRows=126809, totalSize=589302, rawDataSize=126776840]
Partition cluster_metrics_prod_2.container_time_series{system=ia, date=2015-08-06	} stats: [numFiles=1, numRows=72128, totalSize=42518, rawDataSize=72020752]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-12-17} stats: [numFiles=1, numRows=803670, totalSize=2065241, rawDataSize=714575405]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2015-11-26} stats: [numFiles=1, numRows=3078585, totalSize=15325254, rawDataSize=3096790678]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2015-12-27} stats: [numFiles=1, numRows=3281283, totalSize=16219986, rawDataSize=3307260564]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2015-08-19	} stats: [numFiles=1, numRows=1647138, totalSize=7991653, rawDataSize=1660183804]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2016-04-09} stats: [numFiles=4, numRows=134644, totalSize=899159, rawDataSize=136579690]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2016-03-29} stats: [numFiles=3, numRows=233472, totalSize=795333, rawDataSize=236960052]
Partition cluster_metrics_prod_2.container_time_series{system=iheartradio, date=2015-07-30	} stats: [numFiles=1, numRows=61763, totalSize=423427, rawDataSize=62082023]
Partition cluster_metrics_prod_2.container_time_series{system=playfirst, date=2015-09-04	} stats: [numFiles=1, numRows=14855, totalSize=98825, rawDataSize=14937264]
Partition cluster_metrics_prod_2.container_time_series{system=dailymail, date=2016-03-10} stats: [numFiles=3, numRows=2249, totalSize=14827, rawDataSize=2029935]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-11-13} stats: [numFiles=4, numRows=791591, totalSize=4660156, rawDataSize=795224741]
Partition cluster_metrics_prod_2.container_time_series{system=drillinginfo, date=2016-03-21} stats: [numFiles=1, numRows=108, totalSize=3676, rawDataSize=108136]
Partition cluster_metrics_prod_2.container_time_series{system=firstdata, date=2015-12-08} stats: [numFiles=1, numRows=86494, totalSize=496355, rawDataSize=86431400]
Partition cluster_metrics_prod_2.container_time_series{system=dailymail, date=2015-12-19} stats: [numFiles=1, numRows=82026, totalSize=179630, rawDataSize=81856376]
Partition cluster_metrics_prod_2.container_time_series{system=dumbo, date=2015-11-18} stats: [numFiles=1, numRows=2594, totalSize=26464, rawDataSize=2039052]
Partition cluster_metrics_prod_2.container_time_series{system=ms22, date=2016-02-05} stats: [numFiles=4, numRows=1005338, totalSize=3147229, rawDataSize=1014718606]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2015-09-19	} stats: [numFiles=1, numRows=521080, totalSize=1013465, rawDataSize=525976740]
Partition cluster_metrics_prod_2.container_time_series{system=marketshare, date=2015-06-28	} stats: [numFiles=1, numRows=424016, totalSize=976129, rawDataSize=432051217]
Partition cluster_metrics_prod_2.container_time_series{system=wbgaming, date=2015-12-07} stats: [numFiles=1, numRows=172, totalSize=4554, rawDataSize=171828]
